Gene	Paralogs
RN7SL16P	RN7SL130P,RN7SL186P,RN7SL231P,RN7SL267P,RN7SL316P,RN7SL320P,RN7SL386P,RN7SL519P,RN7SL591P,RN7SL680P,RN7SL715P,RN7SL78P
RN7SL170P	RF00017,RN7SL122P,RN7SL169P,RN7SL220P,RN7SL23P,RN7SL290P,RN7SL304P,RN7SL318P,RN7SL323P,RN7SL41P,RN7SL434P,RN7SL449P,RN7SL554P,RN7SL563P,RN7SL567P,RN7SL658P,RN7SL700P,RN7SL706P,RN7SL762P,RN7SL837P,RN7SL849P,RN7SL868P,RN7SL93P,RN7SL98P
RN7SL172P	RF00017,RN7SL104P,RN7SL113P,RN7SL251P,RN7SL254P,RN7SL288P,RN7SL322P,RN7SL325P,RN7SL328P,RN7SL37P,RN7SL441P,RN7SL479P,RN7SL487P,RN7SL577P,RN7SL607P,RN7SL623P,RN7SL654P,RN7SL659P,RN7SL678P,RN7SL735P,RN7SL737P,RN7SL757P,RN7SL791P,RN7SL794P,RN7SL807P,RN7SL808P
RN7SL173P	RN7SL145P,RN7SL147P,RN7SL217P,RN7SL259P,RN7SL326P,RN7SL45P,RN7SL752P,RN7SL822P,RN7SL88P
RN7SL174P	RF00017,RN7SL124P,RN7SL141P,RN7SL189P,RN7SL216P,RN7SL218P,RN7SL228P,RN7SL291P,RN7SL302P,RN7SL321P,RN7SL363P,RN7SL378P,RN7SL504P,RN7SL51P,RN7SL558P,RN7SL601P,RN7SL646P,RN7SL657P,RN7SL688P,RN7SL740P,RN7SL789P,RN7SL856P,RN7SL861P
RN7SL176P	RF00017,RN7SL101P,RN7SL150P,RN7SL165P,RN7SL210P,RN7SL283P,RN7SL313P,RN7SL454P,RN7SL494P,RN7SL515P,RN7SL538P,RN7SL564P,RN7SL570P,RN7SL582P,RN7SL713P,RN7SL717P,RN7SL806P,RN7SL838P
RN7SL177P	RF00017,RN7SL138P,RN7SL178P,RN7SL197P,RN7SL199P,RN7SL208P,RN7SL213P,RN7SL239P,RN7SL244P,RN7SL270P,RN7SL333P,RN7SL364P,RN7SL390P,RN7SL404P,RN7SL445P,RN7SL448P,RN7SL586P,RN7SL587P,RN7SL648P,RN7SL656P,RN7SL660P,RN7SL67P,RN7SL708P,RN7SL734P,RN7SL812P,RN7SL820P,RN7SL870P,RN7SL91P
RN7SL178P	RF00017,RN7SL138P,RN7SL177P,RN7SL197P,RN7SL199P,RN7SL208P,RN7SL213P,RN7SL239P,RN7SL244P,RN7SL270P,RN7SL333P,RN7SL364P,RN7SL390P,RN7SL404P,RN7SL445P,RN7SL448P,RN7SL586P,RN7SL587P,RN7SL648P,RN7SL656P,RN7SL660P,RN7SL67P,RN7SL708P,RN7SL734P,RN7SL812P,RN7SL820P,RN7SL870P,RN7SL91P
RN7SL180P	RF00017,RN7SL192P,RN7SL266P,RN7SL28P,RN7SL293P,RN7SL299P,RN7SL309P,RN7SL342P,RN7SL352P,RN7SL361P,RN7SL366P,RN7SL36P,RN7SL461P,RN7SL507P,RN7SL513P,RN7SL553P,RN7SL583P,RN7SL647P,RN7SL672P,RN7SL675P,RN7SL76P,RN7SL775P,RN7SL782P,RN7SL786P,RN7SL810P,RN7SL827P
RN7SL181P	RF00017,RN7SL149P,RN7SL221P,RN7SL269P,RN7SL272P,RN7SL340P,RN7SL380P,RN7SL398P,RN7SL43P,RN7SL468P,RN7SL496P,RN7SL505P,RN7SL521P,RN7SL57P,RN7SL625P,RN7SL63P,RN7SL711P,RN7SL738P,RN7SL749P,RN7SL825P
RN7SL182P	RF00017,RN7SL15P,RN7SL18P,RN7SL263P,RN7SL305P,RN7SL34P,RN7SL415P,RN7SL426P,RN7SL430P,RN7SL447P,RN7SL482P,RN7SL49P,RN7SL555P,RN7SL60P,RN7SL620P,RN7SL627P,RN7SL629P,RN7SL668P,RN7SL687P,RN7SL726P,RN7SL74P,RN7SL756P,RN7SL792P,RN7SL813P,RN7SL831P,RN7SL8P
RN7SL183P	RF00017,RN7SL111P,RN7SL140P,RN7SL153P,RN7SL159P,RN7SL162P,RN7SL260P,RN7SL282P,RN7SL351P,RN7SL359P,RN7SL369P,RN7SL38P,RN7SL411P,RN7SL44P,RN7SL457P,RN7SL466P,RN7SL535P,RN7SL547P,RN7SL574P,RN7SL575P,RN7SL581P,RN7SL598P,RN7SL683P,RN7SL760P,RN7SL79P
RN7SL184P	RF00017,RN7SL100P,RN7SL107P,RN7SL118P,RN7SL308P,RN7SL329P,RN7SL336P,RN7SL42P,RN7SL435P,RN7SL617P,RN7SL65P,RN7SL666P,RN7SL68P,RN7SL732P,RN7SL851P,RN7SL854P,RN7SL869P
RN7SL185P	RF00017,RN7SL106P,RN7SL196P,RN7SL209P,RN7SL214P,RN7SL238P,RN7SL241P,RN7SL286P,RN7SL319P,RN7SL327P,RN7SL331P,RN7SL417P,RN7SL428P,RN7SL429P,RN7SL469P,RN7SL484P,RN7SL489P,RN7SL495P,RN7SL536P,RN7SL539P,RN7SL545P,RN7SL628P,RN7SL673P,RN7SL719P,RN7SL725P,RN7SL736P,RN7SL759P,RN7SL796P,RN7SL818P,RN7SL82P,RN7SL853P,RN7SL860P
RN7SL186P	RN7SL130P,RN7SL16P,RN7SL231P,RN7SL267P,RN7SL316P,RN7SL320P,RN7SL386P,RN7SL519P,RN7SL591P,RN7SL680P,RN7SL715P,RN7SL78P
RN7SL187P	RF00017,RN7SL117P,RN7SL144P,RN7SL343P,RN7SL385P,RN7SL402P,RN7SL422P,RN7SL462P,RN7SL542P,RN7SL615P,RN7SL635P,RN7SL640P,RN7SL692P,RN7SL703P,RN7SL728P,RN7SL748P,RN7SL75P,RN7SL803P,RN7SL817P,RN7SL836P,RN7SL845P
RN7SL188P	RN7SL116P,RN7SL151P,RN7SL277P,RN7SL396P,RN7SL4P,RN7SL5P,RN7SL864P,RN7SL87P
RN7SL189P	RF00017,RN7SL124P,RN7SL141P,RN7SL174P,RN7SL216P,RN7SL218P,RN7SL228P,RN7SL291P,RN7SL302P,RN7SL321P,RN7SL363P,RN7SL378P,RN7SL504P,RN7SL51P,RN7SL558P,RN7SL601P,RN7SL646P,RN7SL657P,RN7SL688P,RN7SL740P,RN7SL789P,RN7SL856P,RN7SL861P
RN7SL18P	RF00017,RN7SL15P,RN7SL182P,RN7SL263P,RN7SL305P,RN7SL34P,RN7SL415P,RN7SL426P,RN7SL430P,RN7SL447P,RN7SL482P,RN7SL49P,RN7SL555P,RN7SL60P,RN7SL620P,RN7SL627P,RN7SL629P,RN7SL668P,RN7SL687P,RN7SL726P,RN7SL74P,RN7SL756P,RN7SL792P,RN7SL813P,RN7SL831P,RN7SL8P
RN7SL190P	RF00017,RN7SL123P,RN7SL163P,RN7SL202P,RN7SL204P,RN7SL25P,RN7SL274P,RN7SL275P,RN7SL279P,RN7SL353P,RN7SL371P,RN7SL376P,RN7SL391P,RN7SL460P,RN7SL470P,RN7SL488P,RN7SL510P,RN7SL596P,RN7SL602P,RN7SL619P,RN7SL644P,RN7SL66P,RN7SL693P,RN7SL716P,RN7SL750P,RN7SL774P,RN7SL811P,RN7SL847P,RN7SL96P
RN7SL191P	RF00017,RN7SL132P,RN7SL156P,RN7SL234P,RN7SL248P,RN7SL250P,RN7SL268P,RN7SL317P,RN7SL33P,RN7SL453P,RN7SL483P,RN7SL508P,RN7SL526P,RN7SL543P,RN7SL58P,RN7SL610P,RN7SL621P,RN7SL62P,RN7SL733P,RN7SL790P
RN7SL192P	RF00017,RN7SL180P,RN7SL266P,RN7SL28P,RN7SL293P,RN7SL299P,RN7SL309P,RN7SL342P,RN7SL352P,RN7SL361P,RN7SL366P,RN7SL36P,RN7SL461P,RN7SL507P,RN7SL513P,RN7SL553P,RN7SL583P,RN7SL647P,RN7SL672P,RN7SL675P,RN7SL76P,RN7SL775P,RN7SL782P,RN7SL786P,RN7SL810P,RN7SL827P
RN7SL193P	RF00017,RN7SL105P,RN7SL108P,RN7SL135P,RN7SL294P,RN7SL335P,RN7SL384P,RN7SL424P,RN7SL714P,RN7SL745P
RN7SL196P	RF00017,RN7SL106P,RN7SL185P,RN7SL209P,RN7SL214P,RN7SL238P,RN7SL241P,RN7SL286P,RN7SL319P,RN7SL327P,RN7SL331P,RN7SL417P,RN7SL428P,RN7SL429P,RN7SL469P,RN7SL484P,RN7SL489P,RN7SL495P,RN7SL536P,RN7SL539P,RN7SL545P,RN7SL628P,RN7SL673P,RN7SL719P,RN7SL725P,RN7SL736P,RN7SL759P,RN7SL796P,RN7SL818P,RN7SL82P,RN7SL853P,RN7SL860P
RN7SL197P	RF00017,RN7SL138P,RN7SL177P,RN7SL178P,RN7SL199P,RN7SL208P,RN7SL213P,RN7SL239P,RN7SL244P,RN7SL270P,RN7SL333P,RN7SL364P,RN7SL390P,RN7SL404P,RN7SL445P,RN7SL448P,RN7SL586P,RN7SL587P,RN7SL648P,RN7SL656P,RN7SL660P,RN7SL67P,RN7SL708P,RN7SL734P,RN7SL812P,RN7SL820P,RN7SL870P,RN7SL91P
RN7SL198P	RF00017,RN7SL121P,RN7SL131P,RN7SL134P,RN7SL154P,RN7SL155P,RN7SL32P,RN7SL339P,RN7SL356P,RN7SL377P,RN7SL387P,RN7SL440P,RN7SL474P,RN7SL48P,RN7SL491P,RN7SL524P,RN7SL525P,RN7SL557P,RN7SL560P,RN7SL622P,RN7SL624P,RN7SL667P,RN7SL690P,RN7SL718P,RN7SL744P,RN7SL784P,RN7SL785P,RN7SL819P,RN7SL835P,RN7SL850P
RN7SL199P	RF00017,RN7SL138P,RN7SL177P,RN7SL178P,RN7SL197P,RN7SL208P,RN7SL213P,RN7SL239P,RN7SL244P,RN7SL270P,RN7SL333P,RN7SL364P,RN7SL390P,RN7SL404P,RN7SL445P,RN7SL448P,RN7SL586P,RN7SL587P,RN7SL648P,RN7SL656P,RN7SL660P,RN7SL67P,RN7SL708P,RN7SL734P,RN7SL812P,RN7SL820P,RN7SL870P,RN7SL91P
RN7SL19P	RN7SL265P,RN7SL381P,RN7SL443P,RN7SL499P,RN7SL549P,RN7SL614P,RN7SL698P,RN7SL793P,RN7SL824P,RN7SL83P,RN7SL97P
RN7SL2	RN7SL300P,RN7SL30P,RN7SL408P,RN7SL70P,RN7SL823P
RN7SL200P	RF00017,RN7SL211P,RN7SL229P,RN7SL273P,RN7SL296P,RN7SL314P,RN7SL334P,RN7SL35P,RN7SL362P,RN7SL452P,RN7SL456P,RN7SL459P,RN7SL477P,RN7SL497P,RN7SL516P,RN7SL517P,RN7SL578P,RN7SL689P,RN7SL69P,RN7SL702P,RN7SL741P,RN7SL815P
RN7SL201P	RF00017,RN7SL167P,RN7SL205P,RN7SL222P,RN7SL370P,RN7SL372P,RN7SL375P,RN7SL379P,RN7SL392P,RN7SL39P,RN7SL413P,RN7SL52P,RN7SL544P,RN7SL565P,RN7SL589P,RN7SL594P,RN7SL663P,RN7SL697P,RN7SL722P,RN7SL761P,RN7SL763P,RN7SL776P,RN7SL787P,RN7SL843P
RN7SL202P	RF00017,RN7SL123P,RN7SL163P,RN7SL190P,RN7SL204P,RN7SL25P,RN7SL274P,RN7SL275P,RN7SL279P,RN7SL353P,RN7SL371P,RN7SL376P,RN7SL391P,RN7SL460P,RN7SL470P,RN7SL488P,RN7SL510P,RN7SL596P,RN7SL602P,RN7SL619P,RN7SL644P,RN7SL66P,RN7SL693P,RN7SL716P,RN7SL750P,RN7SL774P,RN7SL811P,RN7SL847P,RN7SL96P
RN7SL203P	RF00017,RN7SL168P,RN7SL233P,RN7SL337P,RN7SL338P,RN7SL354P,RN7SL382P,RN7SL420P,RN7SL465P,RN7SL473P,RN7SL580P,RN7SL585P,RN7SL600P,RN7SL616P,RN7SL630P,RN7SL636P,RN7SL679P,RN7SL724P,RN7SL72P,RN7SL801P,RN7SL834P,RN7SL842P,RN7SL862P,RN7SL863P
RN7SL204P	RF00017,RN7SL123P,RN7SL163P,RN7SL190P,RN7SL202P,RN7SL25P,RN7SL274P,RN7SL275P,RN7SL279P,RN7SL353P,RN7SL371P,RN7SL376P,RN7SL391P,RN7SL460P,RN7SL470P,RN7SL488P,RN7SL510P,RN7SL596P,RN7SL602P,RN7SL619P,RN7SL644P,RN7SL66P,RN7SL693P,RN7SL716P,RN7SL750P,RN7SL774P,RN7SL811P,RN7SL847P,RN7SL96P
RN7SL205P	RF00017,RN7SL167P,RN7SL201P,RN7SL222P,RN7SL370P,RN7SL372P,RN7SL375P,RN7SL379P,RN7SL392P,RN7SL39P,RN7SL413P,RN7SL52P,RN7SL544P,RN7SL565P,RN7SL589P,RN7SL594P,RN7SL663P,RN7SL697P,RN7SL722P,RN7SL761P,RN7SL763P,RN7SL776P,RN7SL787P,RN7SL843P
RN7SL208P	RF00017,RN7SL138P,RN7SL177P,RN7SL178P,RN7SL197P,RN7SL199P,RN7SL213P,RN7SL239P,RN7SL244P,RN7SL270P,RN7SL333P,RN7SL364P,RN7SL390P,RN7SL404P,RN7SL445P,RN7SL448P,RN7SL586P,RN7SL587P,RN7SL648P,RN7SL656P,RN7SL660P,RN7SL67P,RN7SL708P,RN7SL734P,RN7SL812P,RN7SL820P,RN7SL870P,RN7SL91P
RN7SL209P	RF00017,RN7SL106P,RN7SL185P,RN7SL196P,RN7SL214P,RN7SL238P,RN7SL241P,RN7SL286P,RN7SL319P,RN7SL327P,RN7SL331P,RN7SL417P,RN7SL428P,RN7SL429P,RN7SL469P,RN7SL484P,RN7SL489P,RN7SL495P,RN7SL536P,RN7SL539P,RN7SL545P,RN7SL628P,RN7SL673P,RN7SL719P,RN7SL725P,RN7SL736P,RN7SL759P,RN7SL796P,RN7SL818P,RN7SL82P,RN7SL853P,RN7SL860P
RN7SL20P	RN7SL148P,RN7SL14P,RN7SL160P,RN7SL164P,RN7SL22P,RN7SL280P,RN7SL307P,RN7SL344P,RN7SL346P,RN7SL350P,RN7SL357P,RN7SL393P,RN7SL395P,RN7SL400P,RN7SL416P,RN7SL418P,RN7SL444P,RN7SL451P,RN7SL478P,RN7SL480P,RN7SL530P,RN7SL556P,RN7SL561P,RN7SL584P,RN7SL604P,RN7SL633P,RN7SL638P,RN7SL649P,RN7SL655P,RN7SL681P,RN7SL684P,RN7SL691P,RN7SL704P,RN7SL709P,RN7SL727P,RN7SL764P,RN7SL800P,RN7SL814P,RN7SL828P,RN7SL865P
RN7SL210P	RF00017,RN7SL101P,RN7SL150P,RN7SL165P,RN7SL176P,RN7SL283P,RN7SL313P,RN7SL454P,RN7SL494P,RN7SL515P,RN7SL538P,RN7SL564P,RN7SL570P,RN7SL582P,RN7SL713P,RN7SL717P,RN7SL806P,RN7SL838P
RN7SL211P	RF00017,RN7SL200P,RN7SL229P,RN7SL273P,RN7SL296P,RN7SL314P,RN7SL334P,RN7SL35P,RN7SL362P,RN7SL452P,RN7SL456P,RN7SL459P,RN7SL477P,RN7SL497P,RN7SL516P,RN7SL517P,RN7SL578P,RN7SL689P,RN7SL69P,RN7SL702P,RN7SL741P,RN7SL815P
RN7SL213P	RF00017,RN7SL138P,RN7SL177P,RN7SL178P,RN7SL197P,RN7SL199P,RN7SL208P,RN7SL239P,RN7SL244P,RN7SL270P,RN7SL333P,RN7SL364P,RN7SL390P,RN7SL404P,RN7SL445P,RN7SL448P,RN7SL586P,RN7SL587P,RN7SL648P,RN7SL656P,RN7SL660P,RN7SL67P,RN7SL708P,RN7SL734P,RN7SL812P,RN7SL820P,RN7SL870P,RN7SL91P
RN7SL214P	RF00017,RN7SL106P,RN7SL185P,RN7SL196P,RN7SL209P,RN7SL238P,RN7SL241P,RN7SL286P,RN7SL319P,RN7SL327P,RN7SL331P,RN7SL417P,RN7SL428P,RN7SL429P,RN7SL469P,RN7SL484P,RN7SL489P,RN7SL495P,RN7SL536P,RN7SL539P,RN7SL545P,RN7SL628P,RN7SL673P,RN7SL719P,RN7SL725P,RN7SL736P,RN7SL759P,RN7SL796P,RN7SL818P,RN7SL82P,RN7SL853P,RN7SL860P
RN7SL215P	RF00017,RN7SL126P,RN7SL223P,RN7SL258P,RN7SL26P,RN7SL306P,RN7SL311P,RN7SL341P,RN7SL423P,RN7SL442P,RN7SL502P,RN7SL503P,RN7SL520P,RN7SL55P,RN7SL568P,RN7SL569P,RN7SL606P,RN7SL643P,RN7SL650P,RN7SL653P,RN7SL731P,RN7SL753P,RN7SL809P,RN7SL841P
RN7SL216P	RF00017,RN7SL124P,RN7SL141P,RN7SL174P,RN7SL189P,RN7SL218P,RN7SL228P,RN7SL291P,RN7SL302P,RN7SL321P,RN7SL363P,RN7SL378P,RN7SL504P,RN7SL51P,RN7SL558P,RN7SL601P,RN7SL646P,RN7SL657P,RN7SL688P,RN7SL740P,RN7SL789P,RN7SL856P,RN7SL861P
RN7SL217P	RN7SL145P,RN7SL147P,RN7SL173P,RN7SL259P,RN7SL326P,RN7SL45P,RN7SL752P,RN7SL822P,RN7SL88P
RN7SL218P	RF00017,RN7SL124P,RN7SL141P,RN7SL174P,RN7SL189P,RN7SL216P,RN7SL228P,RN7SL291P,RN7SL302P,RN7SL321P,RN7SL363P,RN7SL378P,RN7SL504P,RN7SL51P,RN7SL558P,RN7SL601P,RN7SL646P,RN7SL657P,RN7SL688P,RN7SL740P,RN7SL789P,RN7SL856P,RN7SL861P
RN7SL219P	RN7SL125P,RN7SL262P,RN7SL278P,RN7SL310P,RN7SL566P,RN7SL597P,RN7SL618P
RN7SL220P	RF00017,RN7SL122P,RN7SL169P,RN7SL170P,RN7SL23P,RN7SL290P,RN7SL304P,RN7SL318P,RN7SL323P,RN7SL41P,RN7SL434P,RN7SL449P,RN7SL554P,RN7SL563P,RN7SL567P,RN7SL658P,RN7SL700P,RN7SL706P,RN7SL762P,RN7SL837P,RN7SL849P,RN7SL868P,RN7SL93P,RN7SL98P
RN7SL221P	RF00017,RN7SL149P,RN7SL181P,RN7SL269P,RN7SL272P,RN7SL340P,RN7SL380P,RN7SL398P,RN7SL43P,RN7SL468P,RN7SL496P,RN7SL505P,RN7SL521P,RN7SL57P,RN7SL625P,RN7SL63P,RN7SL711P,RN7SL738P,RN7SL749P,RN7SL825P
RN7SL222P	RF00017,RN7SL167P,RN7SL201P,RN7SL205P,RN7SL370P,RN7SL372P,RN7SL375P,RN7SL379P,RN7SL392P,RN7SL39P,RN7SL413P,RN7SL52P,RN7SL544P,RN7SL565P,RN7SL589P,RN7SL594P,RN7SL663P,RN7SL697P,RN7SL722P,RN7SL761P,RN7SL763P,RN7SL776P,RN7SL787P,RN7SL843P
RN7SL223P	RF00017,RN7SL126P,RN7SL215P,RN7SL258P,RN7SL26P,RN7SL306P,RN7SL311P,RN7SL341P,RN7SL423P,RN7SL442P,RN7SL502P,RN7SL503P,RN7SL520P,RN7SL55P,RN7SL568P,RN7SL569P,RN7SL606P,RN7SL643P,RN7SL650P,RN7SL653P,RN7SL731P,RN7SL753P,RN7SL809P,RN7SL841P
RN7SL225P	RN7SL120P,RN7SL242P,RN7SL246P,RN7SL253P,RN7SL292P,RN7SL397P,RN7SL419P,RN7SL559P,RN7SL645P,RN7SL677P,RN7SL712P,RN7SL840P,RN7SL846P
RN7SL228P	RF00017,RN7SL124P,RN7SL141P,RN7SL174P,RN7SL189P,RN7SL216P,RN7SL218P,RN7SL291P,RN7SL302P,RN7SL321P,RN7SL363P,RN7SL378P,RN7SL504P,RN7SL51P,RN7SL558P,RN7SL601P,RN7SL646P,RN7SL657P,RN7SL688P,RN7SL740P,RN7SL789P,RN7SL856P,RN7SL861P
RN7SL229P	RF00017,RN7SL200P,RN7SL211P,RN7SL273P,RN7SL296P,RN7SL314P,RN7SL334P,RN7SL35P,RN7SL362P,RN7SL452P,RN7SL456P,RN7SL459P,RN7SL477P,RN7SL497P,RN7SL516P,RN7SL517P,RN7SL578P,RN7SL689P,RN7SL69P,RN7SL702P,RN7SL741P,RN7SL815P
RN7SL22P	RN7SL148P,RN7SL14P,RN7SL160P,RN7SL164P,RN7SL20P,RN7SL280P,RN7SL307P,RN7SL344P,RN7SL346P,RN7SL350P,RN7SL357P,RN7SL393P,RN7SL395P,RN7SL400P,RN7SL416P,RN7SL418P,RN7SL444P,RN7SL451P,RN7SL478P,RN7SL480P,RN7SL530P,RN7SL556P,RN7SL561P,RN7SL584P,RN7SL604P,RN7SL633P,RN7SL638P,RN7SL649P,RN7SL655P,RN7SL681P,RN7SL684P,RN7SL691P,RN7SL704P,RN7SL709P,RN7SL727P,RN7SL764P,RN7SL800P,RN7SL814P,RN7SL828P,RN7SL865P
RN7SL230P	RN7SL1,RN7SL128P,RN7SL143P,RN7SL146P,RN7SL3,RN7SL399P,RN7SL464P,RN7SL665P,RN7SL767P,RN7SL77P
RN7SL231P	RN7SL130P,RN7SL16P,RN7SL186P,RN7SL267P,RN7SL316P,RN7SL320P,RN7SL386P,RN7SL519P,RN7SL591P,RN7SL680P,RN7SL715P,RN7SL78P
RN7SL233P	RF00017,RN7SL168P,RN7SL203P,RN7SL337P,RN7SL338P,RN7SL354P,RN7SL382P,RN7SL420P,RN7SL465P,RN7SL473P,RN7SL580P,RN7SL585P,RN7SL600P,RN7SL616P,RN7SL630P,RN7SL636P,RN7SL679P,RN7SL724P,RN7SL72P,RN7SL801P,RN7SL834P,RN7SL842P,RN7SL862P,RN7SL863P
RN7SL234P	RF00017,RN7SL132P,RN7SL156P,RN7SL191P,RN7SL248P,RN7SL250P,RN7SL268P,RN7SL317P,RN7SL33P,RN7SL453P,RN7SL483P,RN7SL508P,RN7SL526P,RN7SL543P,RN7SL58P,RN7SL610P,RN7SL621P,RN7SL62P,RN7SL733P,RN7SL790P
RN7SL236P	RN7SL127P,RN7SL255P,RN7SL284P,RN7SL301P,RN7SL383P,RN7SL472P,RN7SL493P,RN7SL551P,RN7SL552P,RN7SL612P,RN7SL705P,RN7SL751P,RN7SL769P,RN7SL778P,RN7SL788P,RN7SL795P
RN7SL237P	RF00017,RN7SL12P,RN7SL152P,RN7SL303P,RN7SL518P,RN7SL608P,RN7SL664P,RN7SL73P,RN7SL798P,RN7SL81P
RN7SL238P	RF00017,RN7SL106P,RN7SL185P,RN7SL196P,RN7SL209P,RN7SL214P,RN7SL241P,RN7SL286P,RN7SL319P,RN7SL327P,RN7SL331P,RN7SL417P,RN7SL428P,RN7SL429P,RN7SL469P,RN7SL484P,RN7SL489P,RN7SL495P,RN7SL536P,RN7SL539P,RN7SL545P,RN7SL628P,RN7SL673P,RN7SL719P,RN7SL725P,RN7SL736P,RN7SL759P,RN7SL796P,RN7SL818P,RN7SL82P,RN7SL853P,RN7SL860P
RN7SL239P	RF00017,RN7SL138P,RN7SL177P,RN7SL178P,RN7SL197P,RN7SL199P,RN7SL208P,RN7SL213P,RN7SL244P,RN7SL270P,RN7SL333P,RN7SL364P,RN7SL390P,RN7SL404P,RN7SL445P,RN7SL448P,RN7SL586P,RN7SL587P,RN7SL648P,RN7SL656P,RN7SL660P,RN7SL67P,RN7SL708P,RN7SL734P,RN7SL812P,RN7SL820P,RN7SL870P,RN7SL91P
RN7SL23P	RF00017,RN7SL122P,RN7SL169P,RN7SL170P,RN7SL220P,RN7SL290P,RN7SL304P,RN7SL318P,RN7SL323P,RN7SL41P,RN7SL434P,RN7SL449P,RN7SL554P,RN7SL563P,RN7SL567P,RN7SL658P,RN7SL700P,RN7SL706P,RN7SL762P,RN7SL837P,RN7SL849P,RN7SL868P,RN7SL93P,RN7SL98P
RN7SL240P	RF00017,RN7SL11P,RN7SL252P,RN7SL261P,RN7SL271P,RN7SL330P,RN7SL332P,RN7SL40P,RN7SL414P,RN7SL47P,RN7SL481P,RN7SL498P,RN7SL509P,RN7SL541P,RN7SL571P,RN7SL573P,RN7SL743P,RN7SL766P,RN7SL783P,RN7SL797P,RN7SL799P,RN7SL7P,RN7SL804P
RN7SL241P	RF00017,RN7SL106P,RN7SL185P,RN7SL196P,RN7SL209P,RN7SL214P,RN7SL238P,RN7SL286P,RN7SL319P,RN7SL327P,RN7SL331P,RN7SL417P,RN7SL428P,RN7SL429P,RN7SL469P,RN7SL484P,RN7SL489P,RN7SL495P,RN7SL536P,RN7SL539P,RN7SL545P,RN7SL628P,RN7SL673P,RN7SL719P,RN7SL725P,RN7SL736P,RN7SL759P,RN7SL796P,RN7SL818P,RN7SL82P,RN7SL853P,RN7SL860P
RN7SL242P	RN7SL120P,RN7SL225P,RN7SL246P,RN7SL253P,RN7SL292P,RN7SL397P,RN7SL419P,RN7SL559P,RN7SL645P,RN7SL677P,RN7SL712P,RN7SL840P,RN7SL846P
RN7SL244P	RF00017,RN7SL138P,RN7SL177P,RN7SL178P,RN7SL197P,RN7SL199P,RN7SL208P,RN7SL213P,RN7SL239P,RN7SL270P,RN7SL333P,RN7SL364P,RN7SL390P,RN7SL404P,RN7SL445P,RN7SL448P,RN7SL586P,RN7SL587P,RN7SL648P,RN7SL656P,RN7SL660P,RN7SL67P,RN7SL708P,RN7SL734P,RN7SL812P,RN7SL820P,RN7SL870P,RN7SL91P
RN7SL246P	RN7SL120P,RN7SL225P,RN7SL242P,RN7SL253P,RN7SL292P,RN7SL397P,RN7SL419P,RN7SL559P,RN7SL645P,RN7SL677P,RN7SL712P,RN7SL840P,RN7SL846P
RN7SL248P	RF00017,RN7SL132P,RN7SL156P,RN7SL191P,RN7SL234P,RN7SL250P,RN7SL268P,RN7SL317P,RN7SL33P,RN7SL453P,RN7SL483P,RN7SL508P,RN7SL526P,RN7SL543P,RN7SL58P,RN7SL610P,RN7SL621P,RN7SL62P,RN7SL733P,RN7SL790P
RN7SL250P	RF00017,RN7SL132P,RN7SL156P,RN7SL191P,RN7SL234P,RN7SL248P,RN7SL268P,RN7SL317P,RN7SL33P,RN7SL453P,RN7SL483P,RN7SL508P,RN7SL526P,RN7SL543P,RN7SL58P,RN7SL610P,RN7SL621P,RN7SL62P,RN7SL733P,RN7SL790P
RN7SL251P	RF00017,RN7SL104P,RN7SL113P,RN7SL172P,RN7SL254P,RN7SL288P,RN7SL322P,RN7SL325P,RN7SL328P,RN7SL37P,RN7SL441P,RN7SL479P,RN7SL487P,RN7SL577P,RN7SL607P,RN7SL623P,RN7SL654P,RN7SL659P,RN7SL678P,RN7SL735P,RN7SL737P,RN7SL757P,RN7SL791P,RN7SL794P,RN7SL807P,RN7SL808P
RN7SL252P	RF00017,RN7SL11P,RN7SL240P,RN7SL261P,RN7SL271P,RN7SL330P,RN7SL332P,RN7SL40P,RN7SL414P,RN7SL47P,RN7SL481P,RN7SL498P,RN7SL509P,RN7SL541P,RN7SL571P,RN7SL573P,RN7SL743P,RN7SL766P,RN7SL783P,RN7SL797P,RN7SL799P,RN7SL7P,RN7SL804P
RN7SL253P	RN7SL120P,RN7SL225P,RN7SL242P,RN7SL246P,RN7SL292P,RN7SL397P,RN7SL419P,RN7SL559P,RN7SL645P,RN7SL677P,RN7SL712P,RN7SL840P,RN7SL846P
RN7SL254P	RF00017,RN7SL104P,RN7SL113P,RN7SL172P,RN7SL251P,RN7SL288P,RN7SL322P,RN7SL325P,RN7SL328P,RN7SL37P,RN7SL441P,RN7SL479P,RN7SL487P,RN7SL577P,RN7SL607P,RN7SL623P,RN7SL654P,RN7SL659P,RN7SL678P,RN7SL735P,RN7SL737P,RN7SL757P,RN7SL791P,RN7SL794P,RN7SL807P,RN7SL808P
RN7SL255P	RN7SL127P,RN7SL236P,RN7SL284P,RN7SL301P,RN7SL383P,RN7SL472P,RN7SL493P,RN7SL551P,RN7SL552P,RN7SL612P,RN7SL705P,RN7SL751P,RN7SL769P,RN7SL778P,RN7SL788P,RN7SL795P
